date,precip_mean,moisture_mean,tmean_mean,precip_std,moisture_std,tmean_std,precip_mean_prev_2d_sum,tmean_mean_prev_2d_mean,precip_mean_prev_7d_sum,tmean_mean_prev_7d_mean,precip_mean_prev_30d_sum,tmean_mean_prev_30d_mean,precip_mean_prev_90d_sum,tmean_mean_prev_90d_mean,precip_mean_prev_1y_sum,tmean_mean_prev_1y_mean,precip_mean_prev_3y_sum,tmean_mean_prev_3y_mean
2002-12-30,4.302620112153204,84.40396825396826,0.97517461454168,1.8495680905471814,3.2411203794578958,0.37015916845873464,7.102419569235842,1.5507222876707267,16.16727237938261,2.1296458430608536,76.059370598958,2.6340762076626114,199.28647391534722,5.789818108240115,722.866684487512,10.14745423205118,2166.1826374216216,10.12904590300183
2003-01-06,0.9771438154775931,84.77527777777777,1.6474504757946005,1.0930267163612286,2.6823886486313606,0.40947948427057024,3.375706597854432,1.9845294506882163,15.09612578782935,1.5470424623358636,77.48731165782748,2.3175517152627836,201.88075528217348,4.997638256622949,722.8692840067563,10.152212057608333,2169.333255667205,10.130663548720038
2003-01-13,0.4916297988058941,82.46285714285713,0.8833032785157183,1.1596671497343916,2.572076465303727,0.5692086281027379,1.0164708434046328,1.0515336220073346,10.32577376170979,1.283656492445763,65.19098298162994,1.8978551001888726,192.74300280247826,4.27043641705979,724.835362595575,10.147733589304748,2172.813773325239,10.13240689454831
2003-01-20,0.15870014892122952,86.06484126984127,1.9486266831990882,0.48956987552916575,2.700251559450699,0.5277010948547108,1.2187046573410196,1.3991414723411943,7.981923966628572,1.1986961772126528,52.96909833977575,1.5994866409063804,188.25771362195667,3.690614177944824,719.6924668939887,10.142290932856863,2171.0805600732665,10.132376066001875
2003-01-27,1.6653946075948522,83.98865079365079,1.7381134960463593,1.2720799227661752,2.1071575621490664,0.45550773247435955,4.0258008715509055,1.1835940834126035,18.31913296269234,2.0576655322491355,58.8253760480959,1.523695640834845,191.09134012579224,3.1832683924394822,724.8129006323948,10.147245422422172,2172.2842416476856,10.132682776918866
2003-02-03,1.4390706877167783,82.16194444444444,1.0015143910909765,1.917857322000752,2.2807261581418694,0.40215554120628555,3.653935342583368,0.596183828400371,11.180039282315533,1.0425022569519187,51.18257657120067,1.434890070446424,188.83217840482794,2.7254354538351424,725.9400486962472,10.139219909067103,2169.4914989715644,10.131313814063112
2003-02-10,2.3800399925389835,81.55559523809524,2.9231355523107165,1.1738566132736663,2.565573622472601,0.47653779103245214,4.436313720844368,2.7038723465055607,13.161009389524798,2.736006690759235,51.65857644456588,1.711572061474175,191.49260980826458,2.464989547779309,731.6316262735749,10.137327617198643,2170.349848941493,10.131102882792016
2003-02-17,0.49212259129076785,78.39158730158731,2.0875027046086903,0.9237234329540057,2.0338485530221195,0.4766880914655912,1.4132253420039773,1.7038731451869178,11.414010029905908,2.1792686804083705,55.2928963217796,1.9635461689087665,183.66592722062325,2.2416405515019346,732.0339077977912,10.143530126039078,2172.1172326291535,10.135935459232083
2003-02-24,0.7474294071985864,78.1867857142857,3.337286465527587,1.0921659644404516,2.3081943452692437,0.43916453891867896,1.4989908216438783,3.2121511375978136,9.377615545694127,2.4845552320313264,49.15847511899128,2.048783939596038,180.39882760765926,2.1500808130641516,731.3908177579326,10.143779249398442,2171.687025444936,10.135714993163425
2003-03-03,1.0235853636117562,75.1234126984127,5.013808379866991,0.9113692925657194,1.831990383644409,0.45654599631724746,2.6661768774594248,4.811224805028076,10.17113966588827,3.876809152235462,47.77770997359647,2.670961531494717,180.04387221847085,2.232643214405753,727.52940488817,10.145906084772236,2171.2336537360784,10.134008658267826
2003-03-10,1.0262469457194001,71.88646825396826,5.387615965530304,1.3897049256869558,1.8936802980297103,0.3996830464094792,2.0909939661742056,5.36848753413187,6.241315444019714,4.626069718907918,41.640394406352385,3.252488805936422,163.71632738418415,2.331821909469332,724.7228565977811,10.14232977195764,2170.214161686654,10.133480457035489
2003-03-17,0.6535849341442236,73.74619047619048,6.954000375219275,1.193280468507841,2.0086953481319205,0.4656887298737004,1.177020138158067,7.336655483389488,11.928055478018331,6.440706001759972,39.13135147562442,4.180157567497219,158.16468884624,2.628304438278664,725.4764749979716,10.147197193531817,2168.073709875899,10.134967166513443
2003-03-24,1.822404637398753,72.05277777777778,7.519914547209336,1.7424613023765387,1.9797871519491506,0.4240593063714527,3.0767933143318498,7.301534592612123,11.05472792991761,6.683578367864203,40.8942293394878,5.260481498685618,149.6372792265435,2.9472589039976427,724.054522241434,10.144064857525127,2166.107552736196,10.13502975809284
2003-03-31,1.944742010081569,72.40948412698413,8.402532407143047,1.0219599126579795,1.7696670133519437,0.3709290238619744,3.100123098443273,8.121145642070488,11.448510539016375,7.652054271626122,43.338786268431456,6.247976937705456,144.45921346443686,3.3965906524790173,721.0323103463487,10.145774477983894,2163.069965303189,10.135395623758281
2003-04-07,1.7621112147085274,67.4161111111111,8.812023863696087,1.2503367314475706,1.7844854322317742,0.492820452976868,2.2948749728018014,8.823490662661472,11.863726703190295,8.66797642928039,48.38601461631682,7.228239352065952,142.97146477707395,3.9483330955440383,716.8932597809501,10.153722260594193,2160.697544197911,10.135512910713238
2003-04-14,1.7182641503488334,65.53420634920636,8.87209580610544,0.9666691479115166,1.5933078025062701,0.41036577699952287,3.188228950634025,8.436848217739378,12.086899208104246,8.30432057303795,47.630884518386594,7.794293948647987,144.21180035825557,4.483882073201433,716.6843429249589,10.156248678219892,2158.4547049075745,10.13537426377041
