tmean_mean,precip_mean,moisture_mean,precip_mean_prev_2d_sum,tmean_mean_prev_2d_mean,precip_mean_prev_7d_sum,tmean_mean_prev_7d_mean,precip_mean_prev_30d_sum,tmean_mean_prev_30d_mean,precip_mean_prev_90d_sum,tmean_mean_prev_90d_mean,precip_mean_prev_1y_sum,tmean_mean_prev_1y_mean,precip_mean_prev_3y_sum,tmean_mean_prev_3y_mean,date
-8.428571428571429,0.39523809523809517,83.94444444444444,0.7928571428571427,-8.332142857142857,,,,,,,,,,,1971-01-03
-6.220408163265306,0.020408163265306114,81.95238095238095,0.14897959183673468,-6.475510204081634,0.9178571428571427,-7.161734693877551,,,,,,,,,1971-01-10
-1.7510204081632652,0.010204081632653043,81.40476190476191,0.020408163265306086,-2.0459183673469394,0.0285714285714285,-3.718950437317784,,,,,,,,,1971-01-17
3.7612244897959184,2.8591836734693876,85.23809523809526,4.489795918367347,3.426530612244897,8.13265306122449,1.3766763848396504,,,,,,,,,1971-01-24
4.926530612244898,2.6326530612244903,79.54761904761905,6.493877551020409,5.211224489795916,26.1469387755102,5.512536443148688,39.82857142857142,-0.5283333333333332,,,,,,,1971-01-31
0.5122448979591837,0.536734693877551,84.87755102040816,1.020408163265308,0.5989795918367328,6.655102040816327,1.7,41.11224489795918,0.7046938775510204,,,,,,,1971-02-07
3.8673469387755097,0.1693877551020408,79.9795918367347,0.3918367346938786,3.6734693877550995,1.8244897959183672,2.4629737609329445,42.779591836734696,2.4424489795918367,,,,,,,1971-02-14
3.873469387755102,1.5408163265306123,80.24489795918369,2.983673469387757,3.913265306122447,7.5836734693877546,4.146355685131195,46.699999999999996,3.4535374149659863,,,,,,,1971-02-21
1.1979591836734695,0.6755102040816325,71.67346938775509,1.434693877551022,1.6653061224489778,7.222448979591837,2.976093294460641,29.779591836734692,2.980680272108844,,,,,,,1971-02-28
-4.638775510204082,0.4163265306122449,70.38775510204081,0.8306122448979607,-4.64387755102041,3.344897959183673,-2.599125364431487,20.99591836734694,1.6700680272108843,,,,,,,1971-03-07
1.773469387755102,1.342857142857143,73.89795918367348,2.702040816326533,1.1469387755102023,6.704081632653063,-1.8282798833819243,25.246938775510205,0.8737414965986394,,,,,,,1971-03-14
6.7306122448979595,0.5306122448979591,73.6938775510204,1.0612244897959207,6.5234693877551,6.06326530612245,4.98134110787172,26.318367346938775,1.0845578231292516,,,,,,,1971-03-21
5.1000000000000005,1.4775510204081634,71.36734693877551,2.955102040816329,5.352040816326528,8.077551020408164,6.076967930029155,25.624489795918368,1.6582312925170066,,,,,,,1971-03-28
7.438775510204081,0.0,66.91836734693878,0.0,7.159183673469385,3.5632653061224495,6.015451895043731,25.238775510204082,3.2476870748299325,86.08000000000001,1.7805396825396826,,,,,1971-04-04
12.414285714285715,0.3142857142857142,62.61224489795918,0.6285714285714297,12.310204081632651,2.0000000000000004,10.57463556851312,22.406122448979595,6.527755102040816,87.34489795918367,2.9948979591836737,,,,,1971-04-11
11.687755102040816,0.07755102040816327,50.42857142857143,0.15510204081632767,11.706122448979588,0.4285714285714291,12.127113702623907,15.130612244897959,8.553537414965986,87.53061224489795,4.180294784580498,,,,,1971-04-18
13.659183673469387,1.9306122448979586,60.9795918367347,2.512244897959185,13.951020408163263,3.6142857142857148,13.375218658892127,12.561224489795917,10.178367346938774,80.25918367346938,5.043265306122449,,,,,1971-04-25
7.73877551020408,1.2081632653061225,66.42857142857143,3.7653061224489823,7.5438775510204055,15.985714285714286,9.423906705539357,22.02857142857142,11.094149659863945,70.7469387755102,5.352494331065759,,,,,1971-05-02
14.66326530612245,0.0,62.285714285714285,0.0,13.885714285714284,2.6857142857142873,10.851603498542275,23.342857142857138,11.502176870748299,68.53061224489797,6.102630385487529,,,,,1971-05-09
18.322448979591837,1.6510204081632653,63.775510204081634,3.3020408163265325,18.322448979591833,3.6959183673469402,17.78804664723032,26.136734693877546,12.782789115646258,70.50204081632653,7.258526077097505,,,,,1971-05-16
19.248979591836736,4.467346938775509,67.34693877551021,7.3000000000000025,19.607142857142858,18.43673469387755,19.56793002915452,43.31632653061224,14.377414965986393,80.36326530612246,8.463015873015873,,,,,1971-05-23
13.589795918367345,4.587755102040815,72.65306122448979,10.810204081632651,13.524489795918367,48.35918367346938,15.37871720116618,76.94285714285714,15.339727891156462,122.51224489795916,9.466530612244897,,,,,1971-05-30
18.014285714285712,2.4142857142857146,71.6938775510204,4.310204081632653,17.972448979591835,10.448979591836734,16.180174927113704,80.94081632653061,17.005850340136053,129.66938775510204,10.976984126984126,,,,,1971-06-06
14.763265306122447,1.0979591836734692,72.10204081632654,2.7142857142857144,14.9,15.289795918367348,16.35276967930029,95.83673469387756,16.96673469387755,137.11632653061224,12.310226757369616,,,,,1971-06-13
13.408163265306124,4.104081632653061,73.38775510204081,8.016326530612245,13.228571428571428,19.626530612244895,13.625655976676384,101.02448979591836,15.665850340136055,151.4877551020408,12.941791383219954,,,,,1971-06-20
17.09387755102041,0.9755102040816327,64.38775510204081,1.9142857142857146,17.253061224489795,14.155102040816328,15.330320699708453,70.33061224489796,15.249047619047618,157.19591836734693,13.67702947845805,,,,,1971-06-27
15.448979591836734,3.536734693877551,66.71428571428571,7.302040816326531,15.056122448979595,25.820408163265306,15.778134110787173,79.20204081632653,15.451768707482993,180.4326530612245,14.404036281179136,,,,,1971-07-04
23.43061224489796,0.0,52.89795918367347,0.0,23.05918367346939,4.0102040816326525,20.14810495626822,66.3265306122449,16.132517006802722,182.35714285714286,15.103242630385486,,,,,1971-07-11
