date,precip_mean,moisture_mean,tmean_mean,precip_std,moisture_std,tmean_std,precip_mean_prev_2d_sum,tmean_mean_prev_2d_mean,precip_mean_prev_7d_sum,tmean_mean_prev_7d_mean,precip_mean_prev_30d_sum,tmean_mean_prev_30d_mean,precip_mean_prev_90d_sum,tmean_mean_prev_90d_mean,precip_mean_prev_1y_sum,tmean_mean_prev_1y_mean,precip_mean_prev_3y_sum,tmean_mean_prev_3y_mean
2002-12-30,3.4818522016767006,84.40396825396826,1.3413360046157294,1.8495680905471814,3.2411203794578958,0.37015916845873464,6.41341102378926,1.461050824032211,13.767970959373407,1.9380698619244694,62.285728680189,2.683643787556187,182.72053131215642,5.696208561398599,732.6974973389438,10.019866284241274,2171.9526642527812,10.080418584929086
2003-01-06,1.8363416197884765,84.77527777777777,1.2823703150087074,1.0930267163612286,2.6823886486313606,0.40947948427057024,3.40957821776738,1.499148420494182,13.730565001106244,1.4222601622906708,66.9811861880224,2.3196691261744364,179.8504556239731,4.887229905711173,734.0371036195793,10.025905688276193,2173.6637034711302,10.08092503429056
2003-01-13,1.1193502319562643,82.46285714285713,0.08617770392104657,1.1596671497343916,2.572076465303727,0.5692086281027379,1.7686243059020337,-0.6703925243413225,9.970872835743306,0.7839118140312864,61.75469817364174,1.7362687316175571,175.15606881493977,4.12115727772782,729.4569270064649,10.015418214770378,2176.032711922156,10.078623994059466
2003-01-20,0.5301593114916615,86.06484126984127,1.736069655735785,0.48956987552916575,2.700251559450699,0.5277010948547108,1.7567160827440418,1.2365963612639086,10.103511507726193,0.9691105316403963,50.68514125396054,1.4047335752573977,174.3097888273686,3.5121000499546553,729.9548353993694,10.018808040532564,2177.3985005555087,10.076887932576335
2003-01-27,2.592705696024987,83.98865079365079,1.1227956555310583,1.2720799227661752,2.1071575621490664,0.45550773247435955,4.8803129294936,1.446360985742842,17.499195178999248,1.8015364889728718,57.71755554736424,1.2586611542203674,177.22488900310796,3.024984864907608,732.1075976676113,10.015724316142919,2179.6565842146338,10.076342535620233
2003-02-03,3.6401964081415805,82.16194444444444,1.4273997952256339,1.917857322000752,2.2807261581418694,0.40215554120628555,7.915667879107645,1.6136561284778077,17.371178052916164,1.1657532155709975,58.35433579315228,1.2013493730832419,183.5391528655975,2.5781196203054804,734.6947883025642,10.015203452495973,2188.8428645586378,10.075358209188703
2003-02-10,2.0546630559725902,81.55559523809524,1.8460554629197206,1.1738566132736663,2.565573622472601,0.47653779103245214,4.052262366664,1.4435688712167845,14.384316975884978,2.074463685281558,61.12682602142861,1.357842080052605,181.5305927562281,2.320793766673073,736.2432143614069,10.002662676989775,2189.718308103059,10.072319507353168
2003-02-17,1.2686837454023316,78.39158730158731,1.1624799331100164,0.9237234329540057,2.0338485530221195,0.4766880914655912,2.640299922931459,1.0788766807751613,10.396709241473037,1.8362386257203607,61.40811553201746,1.6873045610449455,173.6033449710416,2.0801700833497176,734.3591923831904,10.00271769119955,2188.78357543481,10.07114404915747
2003-02-24,1.8255497279150155,78.1867857142857,2.544227852996303,1.0921659644404516,2.3081943452692437,0.43916453891867896,2.1113703653436904,2.751962989201286,10.398376611087283,2.2276271710793125,57.43089381085505,1.8007100285017106,174.1441952144283,1.9908396566118594,731.9977389121335,10.003520970802574,2183.9481368417855,10.070428849340427
2003-03-03,0.20561114410184733,75.1234126984127,4.217848261404857,0.9113692925657194,1.831990383644409,0.45654599631724746,1.8425550099487997,4.282053233428185,8.568643682922314,3.6689002754454934,51.66371439047525,2.395930685321424,172.62545431331927,2.0402348461636013,730.029133642468,10.002425153302797,2183.541559279834,10.070531646183186
2003-03-10,1.7925718622424598,71.88646825396826,5.209983705936975,1.3897049256869558,1.8936802980297103,0.3996830464094792,1.7925718622424651,5.229534405913238,5.115817480960539,4.7544086899682005,38.531809383107166,3.0099120359309053,164.87314246850605,2.153055296922491,726.7148755189278,10.00047085987549,2180.9383724791646,10.070733715091489
2003-03-17,1.356811131560538,73.74619047619048,6.294054782324385,1.193280468507841,2.0086953481319205,0.4656887298737004,3.1153526167189214,6.528745322350973,8.629890811473535,5.802786126404621,35.35302850937513,3.9111269733944583,155.837314286439,2.387303202949775,724.7964050865357,9.995764184488785,2180.37000316666,10.068212526343434
2003-03-24,2.294576185065733,72.05277777777778,7.288552368480124,1.7424613023765387,1.9797871519491506,0.4240593063714527,4.0159536002015095,7.075135594681363,12.50237133023358,6.72274017518807,36.928093670933656,5.071525761581577,150.65917650688132,2.7158823664546863,724.5541868964499,9.99693853529154,2180.0335517214435,10.068083264323418
2003-03-31,1.578040826410476,72.40948412698413,7.671076980102846,1.0219599126579795,1.7696670133519437,0.3709290238619744,3.439786257945629,7.442070026202332,12.981861062401165,7.503137869485411,41.072495695017615,6.068187216472683,149.5434857212542,3.1533432300268665,723.523935575756,9.995516965297876,2180.5246855801806,10.068503866445607
2003-04-07,1.313562964259127,67.4161111111111,8.61681957829335,1.2503367314475706,1.7844854322317742,0.492820452976868,2.8241194178006763,8.630937734043874,11.267419065492042,8.323316531349256,47.17411413184278,6.964097790960602,147.77084878189805,3.698771264592252,723.7483263760683,9.991393053084932,2179.4108664805776,10.065270820241702
2003-04-14,1.225048795180882,65.53420634920636,8.901986534769662,0.9666691479115166,1.5933078025062701,0.41036577699952287,3.958056018981913,8.512517519126789,14.279176990391289,8.247645759099212,54.14618106523699,7.621179099685188,150.3313494511716,4.2832186621407935,725.7013541304888,9.998311420349912,2181.238408432573,10.06423737317394
