station_id,date,station_id_count,precip_mean,precip_min,precip_max,precip_std,tmean_mean,tmean_min,tmean_max,tmean_std,tmax_mean,tmax_min,tmax_max,tmax_std,tmin_mean,tmin_min,tmin_max,tmin_std,moisture_mean,moisture_min,moisture_max,moisture_std
377,2019-04-07,14,0.0071428571428571435,0.0,0.1,0.02672612419124244,18.67142857142857,13.0,22.6,2.7605541727449103,24.064285714285713,18.0,28.0,3.197741304506893,13.692857142857141,10.0,17.9,2.742392073667491,67.21428571428571,57.0,74.0,4.933068500960115
377,2019-04-21,14,2.6285714285714286,0.0,17.4,5.943248085197,18.192857142857143,15.7,21.2,1.6485258149745086,22.185714285714287,18.3,27.8,2.9935461715695446,14.592857142857143,12.7,16.4,1.0306564642269256,74.28571428571429,61.0,87.0,8.023317666254178
377,2019-05-05,14,5.707142857142857,0.0,39.5,11.849275491367802,14.321428571428571,11.6,17.5,1.8868690270590398,18.535714285714285,14.5,22.9,2.7502747115535535,10.535714285714286,5.3,14.0,2.5906955237355267,80.14285714285714,72.0,91.0,4.62197331911786
377,2019-05-19,14,2.5285714285714285,0.0,25.4,6.857722045136537,13.678571428571429,9.0,16.7,2.2888285789320837,17.37857142857143,13.0,21.4,2.469873422925701,10.37857142857143,5.3,14.1,2.7058849175109403,79.71428571428571,71.0,88.0,4.322189107537833
377,2019-06-02,14,0.22142857142857145,0.0,1.5,0.4079565803226753,9.521428571428572,2.6,16.8,4.866396324469802,13.235714285714286,4.5,21.8,5.436006331413242,5.814285714285715,-0.2,13.9,4.645735371591578,77.14285714285714,68.0,92.0,6.023762469230866
377,2019-06-16,14,1.907142857142857,0.0,4.7,1.9193205070522248,9.264285714285714,5.6,12.3,2.2933372199472983,12.578571428571427,8.7,17.1,2.7635480459362025,5.428571428571429,0.5,10.5,3.142862137858169,79.64285714285714,71.0,87.0,4.700362389583015
377,2019-06-30,14,1.8928571428571428,0.0,12.5,3.4481799626679943,8.55,4.0,13.0,2.8185511826523157,11.414285714285715,5.6,16.0,3.1255417112895785,5.578571428571428,-0.3,10.6,3.014115145426616,84.35714285714286,77.0,93.0,5.745997173379352
377,2019-07-14,14,0.6642857142857144,0.0,4.0,1.195251594278951,5.521428571428571,2.6,9.3,2.0562020895250135,8.535714285714286,4.3,13.6,2.977765590520502,2.6785714285714284,-0.4,6.9,2.392352743295112,79.21428571428571,63.0,84.0,5.535599077142159
377,2019-07-28,14,1.1285714285714286,0.0,8.8,2.4984390731410286,3.0500000000000003,-0.9,10.7,3.5261113905351227,5.507142857142857,0.0,12.9,4.243087461836158,0.7,-2.2,9.1,3.197114083284871,78.14285714285714,67.0,93.0,8.18870838746533
377,2019-08-11,14,1.6642857142857144,0.0,7.2,2.263967634607317,7.757142857142857,2.4,11.7,2.604645047636207,9.964285714285714,5.3,14.1,2.5758067124262682,4.735714285714286,-0.8,9.5,3.0565458490708965,78.78571428571429,69.0,92.0,7.266133999363304
