STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        174;19840301;-999;-999;-999;   10;   0.0;   0;    4.800;   7;   1.0;   4.6;    -999;   -0.6;   79.00;    6.0;   -4.0;-999;eor
        174;19840302;-999;-999;-999;   10;   3.9;   8;    0.000;   4;   6.7;   5.7;    -999;    1.2;   85.00;    3.5;   -4.0;-999;eor
        174;19840303;-999;-999;-999;   10;   4.9;   7;    0.000;   8;   7.3;   6.0;    -999;    0.8;   93.00;    2.5;   -1.0;-999;eor
        174;19840304;-999;-999;-999;   10;   0.0;   0;    6.100;  10;   0.3;   4.4;    -999;   -0.4;   75.00;    5.5;   -3.0;-999;eor
        174;19840305;-999;-999;-999;   10;   0.0;   0;    4.700;   7;   1.3;   5.0;    -999;    1.0;   78.00;    5.5;   -5.5;-999;eor
        174;19840306;-999;-999;-999;   10;   0.0;   0;    1.300;   5;   4.0;   5.9;    -999;    1.7;   83.00;    6.0;   -0.5;-999;eor
        174;19840307;-999;-999;-999;   10;   0.0;   0;    0.200;   3;   7.7;   6.5;    -999;    4.2;   80.00;    8.0;   -2.5;-999;eor
        174;19840308;-999;-999;-999;   10;   0.5;   7;    3.500;   0;   4.3;   3.7;    -999;    1.7;   54.00;    4.5;    0.0;-999;eor
        174;19840309;-999;-999;-999;   10;   0.5;   7;    0.300;   1;   7.7;   4.0;    -999;    0.1;   64.00;    2.0;   -1.0;-999;eor
        174;19840310;-999;-999;-999;   10;   0.0;   0;    6.900;   1;   0.3;   3.6;    -999;   -2.5;   72.00;    2.5;   -6.0;-999;eor
        174;19840311;-999;-999;-999;   10;   0.0;   0;    7.000;   0;   0.0;   3.4;    -999;   -1.4;   65.00;    5.0;   -6.0;-999;eor
        174;19840312;-999;-999;-999;   10;   0.0;   0;    7.000;   0;   0.0;   3.8;    -999;   -0.5;   68.00;    5.2;   -6.0;-999;eor
        174;19840313;-999;-999;-999;   10;   0.0;   0;    5.200;   0;   3.3;   4.7;    -999;    2.8;   64.00;    6.0;   -1.0;-999;eor
        174;19840314;-999;-999;-999;   10;   0.0;   0;    7.000;   0;   0.0;   4.8;    -999;    2.6;   68.00;    7.5;   -2.5;-999;eor
        174;19840315;-999;-999;-999;   10;   0.0;   0;    7.100;   0;   0.0;   5.1;    -999;    3.2;   67.00;    9.5;   -0.5;-999;eor
        174;19840316;-999;-999;-999;   10;   0.0;   0;    5.000;   0;   1.3;   5.4;    -999;    2.2;   77.00;    8.5;   -2.5;-999;eor
        174;19840317;-999;-999;-999;   10;   0.0;   0;    3.700;   0;   2.0;   5.4;    -999;    2.8;   74.00;    9.0;   -1.5;-999;eor
        174;19840318;-999;-999;-999;   10;   0.0;   0;    1.300;   0;   2.3;   5.2;    -999;    5.8;   58.00;    9.5;    0.5;-999;eor
        174;19840319;-999;-999;-999;   10;   0.0;   0;    6.100;   0;   0.0;   4.5;    -999;    4.0;   57.00;    9.0;    0.8;-999;eor
        174;19840320;-999;-999;-999;   10;   0.0;   0;    7.400;   0;   0.0;   3.9;    -999;    2.0;   56.00;    8.0;   -1.0;-999;eor
        174;19840321;-999;-999;-999;   10;   0.0;   0;    6.800;   0;   1.0;   5.0;    -999;    4.2;   64.00;   11.0;   -1.5;-999;eor
        174;19840322;-999;-999;-999;   10;   0.0;   0;    7.400;   0;   0.0;   4.4;    -999;    3.8;   59.00;   11.5;   -1.8;-999;eor
        174;19840323;-999;-999;-999;   10;   0.0;   0;    7.400;   0;   0.3;   4.3;    -999;    3.2;   59.00;   12.0;   -3.0;-999;eor
        174;19840324;-999;-999;-999;   10;   2.0;   6;    0.000;   0;   5.3;   5.9;    -999;    4.4;   74.00;   11.5;   -3.0;-999;eor
        174;19840325;-999;-999;-999;   10;   0.8;   6;    0.100;   0;   7.7;   7.5;    -999;    4.6;   87.00;    7.5;    3.0;-999;eor
        174;19840326;-999;-999;-999;   10;   3.0;   6;    1.900;   0;   7.3;   6.8;    -999;    4.3;   83.00;   10.0;    0.0;-999;eor
        174;19840327;-999;-999;-999;   10;  14.9;   6;    2.000;   0;   7.0;   7.5;    -999;    7.9;   72.00;   11.0;    4.0;-999;eor
        174;19840328;-999;-999;-999;   10;   8.0;   6;    1.000;   0;   7.7;   9.6;    -999;   10.2;   78.00;   13.0;    6.5;-999;eor
        174;19840329;-999;-999;-999;   10;   1.7;   6;    0.000;   0;   5.7;   7.8;    -999;    5.0;   85.00;   10.2;    2.8;-999;eor
        174;19840330;-999;-999;-999;   10;   1.4;   6;    1.600;   0;   6.3;   7.1;    -999;    4.1;   86.00;    8.0;    0.5;-999;eor
        174;19840331;-999;-999;-999;   10;   2.6;   6;    2.400;   0;   4.0;   6.2;    -999;    4.6;   76.00;    9.0;   -1.0;-999;eor
        174;19840401;-999;-999;-999;   10;  20.2;   8;    0.000;   0;   8.0;   7.5;    -999;    3.7;   93.00;    5.5;    3.0;-999;eor
        174;19840402;-999;-999;-999;   10;   0.5;   8;    0.000;   0;   8.0;   5.8;    -999;    1.2;   87.00;    3.5;    0.5;-999;eor
        174;19840403;-999;-999;-999;   10;   2.9;   8;    0.000;   0;   8.0;   5.8;    -999;    0.8;   90.00;    1.5;    0.2;-999;eor
        174;19840404;-999;-999;-999;   10;   2.9;   8;    0.000;   0;   8.0;   6.0;    -999;    0.6;   93.00;    2.0;    0.0;-999;eor
        174;19840405;-999;-999;-999;   10;   0.7;   6;    0.000;   0;   7.0;   6.2;    -999;    2.8;   84.00;    6.0;   -1.0;-999;eor
        174;19840406;-999;-999;-999;   10;   4.4;   6;    0.000;   0;   7.7;   6.7;    -999;    3.4;   86.00;    5.0;    1.5;-999;eor
        174;19840407;-999;-999;-999;   10;   0.0;   0;    0.100;   0;   7.7;   8.1;    -999;    5.2;   90.00;    7.5;    3.2;-999;eor
        174;19840408;-999;-999;-999;   10;   0.0;   0;    0.000;   0;   7.7;   7.3;    -999;    5.4;   82.00;    8.0;    3.5;-999;eor
        174;19840409;-999;-999;-999;   10;   0.0;   0;    0.000;   0;   7.3;   6.8;    -999;    5.6;   76.00;    8.5;    3.5;-999;eor
        174;19840410;-999;-999;-999;   10;  19.3;   6;    0.000;   0;   8.0;   7.5;    -999;    4.2;   90.00;    9.0;    3.0;-999;eor
        174;19840411;-999;-999;-999;   10;   0.0;   0;    2.900;   0;   3.7;   6.8;    -999;    4.6;   79.00;    9.5;    3.0;-999;eor
        174;19840412;-999;-999;-999;   10;   1.7;   6;    0.200;   0;   6.3;   7.4;    -999;    4.6;   85.00;    8.0;    2.0;-999;eor
        174;19840413;-999;-999;-999;   10;   0.0;   0;    5.900;   0;   3.0;   7.0;    -999;    5.8;   78.00;   11.5;   -0.5;-999;eor
        174;19840414;-999;-999;-999;   10;   0.0;   0;    9.100;   0;   0.0;   7.2;    -999;    9.9;   61.00;   17.5;    1.0;-999;eor
        174;19840415;-999;-999;-999;   10;   0.7;   6;    8.400;   0;   1.0;   7.3;    -999;   12.4;   55.00;   21.0;    4.0;-999;eor
        174;19840416;-999;-999;-999;   10;   6.1;   6;    1.300;   0;   5.3;   6.9;    -999;    5.9;   71.00;   13.0;    3.4;-999;eor
        174;19840417;-999;-999;-999;   10;   0.0;   0;    5.200;   0;   3.3;   5.6;    -999;    4.2;   70.00;   10.5;    0.5;-999;eor
        174;19840418;-999;-999;-999;   10;   0.0;   0;    9.500;   0;   0.3;   4.7;    -999;    5.6;   57.00;   12.0;   -1.0;-999;eor
        174;19840419;-999;-999;-999;   10;   0.0;   0;    9.500;   0;   0.0;   4.6;    -999;    7.6;   46.00;   14.0;   -0.5;-999;eor
        174;19840420;-999;-999;-999;   10;   0.0;   0;    9.100;   0;   0.3;   4.9;    -999;   10.8;   40.00;   18.0;    1.5;-999;eor
        174;19840421;-999;-999;-999;   10;   0.0;   0;    9.600;   0;   0.3;   6.3;    -999;   12.0;   48.00;   21.5;    4.5;-999;eor
        174;19840422;-999;-999;-999;   10;   0.0;   0;    9.500;   0;   0.0;   7.5;    -999;   14.5;   49.00;   23.5;    5.5;-999;eor
        174;19840423;-999;-999;-999;   10;   0.0;   0;    9.300;   0;   0.0;   8.1;    -999;   14.6;   50.00;   22.0;    8.5;-999;eor
        174;19840424;-999;-999;-999;   10;   0.0;   0;    9.600;   0;   0.0;   6.3;    -999;   15.8;   35.00;   20.5;    7.5;-999;eor
        174;19840425;-999;-999;-999;   10;   0.0;   0;    9.700;   0;   0.0;   6.1;    -999;   14.9;   38.00;   19.0;    7.5;-999;eor
        174;19840426;-999;-999;-999;   10;   0.0;   0;    9.700;   0;   0.0;   7.3;    -999;   14.6;   47.00;   21.5;    4.0;-999;eor
        174;19840427;-999;-999;-999;   10;   0.0;   0;    9.700;   0;   0.0;   4.5;    -999;    8.7;   40.00;   14.8;    6.5;-999;eor
        174;19840428;-999;-999;-999;   10;   0.0;   0;    9.800;   0;   0.3;   4.7;    -999;    7.6;   45.00;   13.0;    2.2;-999;eor
