STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3076;19470101;-999;-999;-999;    5;   0.2;   7;-999;   7;   8.0;   5.9; 1005.80;    1.0;   91.00;    2.8;   -1.1;   -2.0;eor
       3076;19470102;-999;-999;-999;    5;   4.1;   7;-999;   4;   7.7;   6.0; 1010.20;    0.3;   95.00;    2.8;   -2.3;   -6.5;eor
       3076;19470103;-999;-999;-999;    5;   0.4;   7;-999;   7;   8.0;   6.7; 1014.60;    1.3;   98.00;    2.2;    0.3;   -1.0;eor
       3076;19470104;-999;-999;-999;    5;   0.0;   0;-999;   6;   1.7;   3.6; 1016.30;   -5.7;   84.00;    1.2;   -9.0;   -8.6;eor
       3076;19470105;-999;-999;-999;    5;   0.0;   0;-999;   6;   0.0;   1.9; 1010.40;  -10.4;   67.00;   -6.3;  -14.5;  -18.0;eor
       3076;19470106;-999;-999;-999;    5;   0.0;   0;-999;   6;   0.0;   1.5; 1003.80;  -12.4;   59.00;   -8.8;  -14.8;  -19.7;eor
       3076;19470107;-999;-999;-999;    5;   1.1;   7;-999;   6;   8.0;   2.4; 1003.10;   -9.6;   82.00;   -9.0;  -15.5;  -18.7;eor
       3076;19470108;-999;-999;-999;    5;   0.7;   7;-999;   8;   8.0;   3.5; 1004.80;   -6.5;   95.00;   -5.4;   -9.0;   -9.5;eor
       3076;19470109;-999;-999;-999;    5;   0.5;   1;-999;   8;   8.0;   6.1; 1001.80;    0.6;   97.00;    2.0;   -5.4;   -5.5;eor
       3076;19470110;-999;-999;-999;    5;   0.0;   1;-999;   6;   8.0;   6.5; 1005.80;    0.7;  100.00;    2.2;    0.0;   -2.3;eor
       3076;19470111;-999;-999;-999;    5;   7.0;   1;-999;   5;   8.0;   6.9;  997.20;    2.0;   99.00;    2.6;    0.3;   -2.2;eor
       3076;19470112;-999;-999;-999;    5;   1.8;   1;-999;   1;   3.0;   7.9;  995.50;    5.4;   88.00;    7.7;    2.6;    0.6;eor
       3076;19470113;-999;-999;-999;    5;   2.3;   1;-999;   0;   8.0;   8.5;  992.80;    6.1;   89.00;    9.9;    3.0;   -1.2;eor
       3076;19470114;-999;-999;-999;    5;   1.5;   1;-999;   0;   7.7;   7.3; 1005.80;    4.9;   85.00;    6.2;    4.0;    0.5;eor
       3076;19470115;-999;-999;-999;    5;   0.0;   1;-999;   0;   5.3;   9.3; 1013.60;    6.2;   93.00;    9.5;    4.0;    3.7;eor
       3076;19470116;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.0;   6.7; 1013.80;    1.6;   95.00;    4.8;    0.0;   -3.3;eor
       3076;19470117;-999;-999;-999;    5;   0.4;   1;-999;   0;   6.0;   7.2; 1013.00;    4.2;   88.00;    6.1;    0.3;   -3.5;eor
       3076;19470118;-999;-999;-999;    5;   0.4;   1;-999;   0;   2.0;   6.7; 1019.40;    2.9;   87.00;    6.2;    1.4;   -2.2;eor
       3076;19470119;-999;-999;-999;    5;   0.0;   0;-999;   0;   4.7;   7.1; 1014.20;    2.4;   93.00;    5.9;    0.5;   -1.8;eor
       3076;19470120;-999;-999;-999;    5;   0.0;   0;-999;   0;   6.0;   5.3; 1009.60;   -1.1;   97.00;    0.5;   -3.3;   -5.1;eor
       3076;19470121;-999;-999;-999;    5;   3.7;   7;-999;   0;   5.0;   4.8; 1010.30;   -0.8;   84.00;    1.2;   -4.0;   -6.6;eor
       3076;19470122;-999;-999;-999;    5;   0.0;   0;-999;   7;   7.3;   3.9; 1009.60;   -3.4;   82.00;   -0.4;   -4.1;   -6.5;eor
       3076;19470123;-999;-999;-999;    5;   0.1;   7;-999;   3;   4.0;   3.6; 1011.80;   -4.2;   78.00;   -2.0;   -5.2;   -6.5;eor
       3076;19470124;-999;-999;-999;    5;   0.0;   0;-999;   2;   4.7;   2.8; 1014.70;   -5.3;   68.00;   -3.0;   -7.5;  -13.2;eor
       3076;19470125;-999;-999;-999;    5;   0.0;   0;-999;   2;   0.3;   2.3; 1006.30;   -6.8;   65.00;   -4.8;  -10.0;  -16.0;eor
       3076;19470126;-999;-999;-999;    5;   0.0;   0;-999;   2;   3.7;   2.0;  995.00;   -7.0;   53.00;   -4.3;   -9.3;  -12.3;eor
       3076;19470127;-999;-999;-999;    5;   1.3;   7;-999;   2;   5.3;   2.7; 1000.40;   -9.6;   88.00;   -6.2;  -12.0;  -18.0;eor
       3076;19470128;-999;-999;-999;    5;   0.0;   0;-999;   6;   0.0;   2.1; 1003.90;  -12.6;   88.00;   -8.8;  -14.6;  -18.0;eor
       3076;19470129;-999;-999;-999;    5;   0.0;   0;-999;   4;   0.0;   2.3; 1004.70;  -11.2;   86.00;   -6.3;  -15.9;  -20.2;eor
       3076;19470130;-999;-999;-999;    5;   0.0;   0;-999;   3;   2.7;   2.9; 1001.60;   -9.2;   91.00;   -5.1;  -14.0;  -19.2;eor
       3076;19470131;-999;-999;-999;    5;   0.0;   0;-999;   3;   3.0;   2.7; 1001.10;   -9.3;   88.00;   -5.4;  -12.3;  -19.0;eor
       3076;19470201;-999;-999;-999;    5;   0.0;   0;-999;   3;   0.3;   2.8; 1000.60;   -8.6;   87.00;   -4.2;  -13.1;  -18.4;eor
       3076;19470202;-999;-999;-999;    5;   0.0;   7;-999;   3;   6.7;   2.8;  994.70;   -7.2;   83.00;   -5.3;  -12.4;  -17.2;eor
       3076;19470203;-999;-999;-999;    5;   0.0;   1;-999;   3;   7.7;   4.7;  983.20;   -1.9;   88.00;    0.1;   -5.7;   -8.3;eor
       3076;19470204;-999;-999;-999;    5;   2.3;   7;-999;   1;   8.0;   3.9;  979.60;   -3.2;   80.00;   -0.7;   -5.2;  -10.3;eor
       3076;19470205;-999;-999;-999;    5;   1.7;   7;-999;   3;   8.0;   4.1;  989.60;   -3.7;   89.00;   -2.5;   -4.7;   -4.5;eor
       3076;19470206;-999;-999;-999;    5;   0.6;   7;-999;   5;   8.0;   3.7; 1001.10;   -4.6;   85.00;   -1.8;   -5.6;   -5.0;eor
       3076;19470207;-999;-999;-999;    5;   0.0;   0;-999;   5;   5.0;   3.3;  999.40;   -7.6;   88.00;   -2.7;  -10.0;  -10.8;eor
       3076;19470208;-999;-999;-999;    5;   5.1;   8;-999;   5;   5.3;   3.5;  989.60;   -4.5;   84.00;   -2.0;  -12.0;  -14.3;eor
       3076;19470209;-999;-999;-999;    5;   0.0;   0;-999;   7;   2.7;   4.9;  995.10;   -2.3;   93.00;    0.4;   -3.3;   -2.8;eor
       3076;19470210;-999;-999;-999;    5;   0.7;   7;-999;   6;   8.0;   5.1;  994.20;   -1.6;   92.00;    1.5;   -4.8;   -6.3;eor
       3076;19470211;-999;-999;-999;    5;   0.0;   0;-999;   6;   6.7;   4.4;  996.30;   -3.5;   94.00;   -1.6;   -4.8;   -3.8;eor
       3076;19470212;-999;-999;-999;    5;   0.0;   0;-999;   6;   0.0;   4.5;  996.70;   -2.6;   88.00;    1.3;   -5.5;   -8.5;eor
       3076;19470213;-999;-999;-999;    5;   0.1;   7;-999;   4;   0.0;   4.1;  999.50;   -4.3;   91.00;    0.0;   -7.0;   -9.5;eor
       3076;19470214;-999;-999;-999;    5;   0.0;   0;-999;   2;   8.0;   4.1; 1003.50;   -3.8;   88.00;   -0.3;   -7.9;  -10.3;eor
       3076;19470215;-999;-999;-999;    5;   0.4;   7;-999;   2;   7.0;   3.6; 1006.40;   -5.2;   86.00;   -2.0;   -7.8;   -8.8;eor
       3076;19470216;-999;-999;-999;    5;   0.5;   7;-999;   2;   8.0;   3.6; 1006.40;   -5.8;   91.00;   -4.0;   -7.5;   -6.5;eor
       3076;19470217;-999;-999;-999;    5;   0.0;   0;-999;   3;   8.0;   3.5; 1002.60;   -3.6;   78.00;   -1.0;   -8.8;  -12.3;eor
       3076;19470218;-999;-999;-999;    5;   0.0;   0;-999;   2;   2.7;   2.9;  996.30;   -5.3;   71.00;   -2.5;   -7.7;   -9.0;eor
       3076;19470219;-999;-999;-999;    5;   0.0;   0;-999;   2;   5.3;   3.5;  995.50;   -5.4;   86.00;   -2.8;  -10.6;  -13.8;eor
       3076;19470220;-999;-999;-999;    5;   0.0;   8;-999;   2;   8.0;   3.9;  996.40;   -4.5;   87.00;   -3.5;   -5.5;   -6.3;eor
       3076;19470221;-999;-999;-999;    5;   6.9;   8;-999;   2;   8.0;   5.2;  984.80;   -1.4;   97.00;    1.0;   -6.1;   -8.3;eor
       3076;19470222;-999;-999;-999;    5;   7.8;   1;-999;   0;   8.0;   8.3;  980.00;    4.0;   99.00;    5.8;    1.0;    0.6;eor
       3076;19470223;-999;-999;-999;    5;   0.0;   7;-999;   0;   6.0;   3.5;  998.20;   -3.2;   67.00;    2.9;   -4.7;   -1.5;eor
       3076;19470224;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.3;   2.8; 1002.00;   -4.6;   67.00;   -2.0;   -7.0;   -9.0;eor
       3076;19470225;-999;-999;-999;    5;   0.0;   7;-999;   0;   5.7;   2.7;  997.90;   -4.4;   60.00;   -3.0;   -5.5;   -5.5;eor
       3076;19470226;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.0;   2.9; 1004.00;   -4.2;   70.00;   -0.8;   -9.7;  -12.3;eor
       3076;19470227;-999;-999;-999;    5;   4.2;   1;-999;   0;   5.7;   3.7;  992.30;   -2.0;   72.00;    0.8;   -8.0;  -12.3;eor
