Mst.-ID;Kurzname;Name;Datum;Abstich (m unter MP);Wasserspiegel (m ü. NN);Wasserspiegel (m unter GOK);Wassertemperatur (°C);
14077;544179;LAMPERTHEIM;Sep 16, 1974;4.2;86.43;3.76;0;
14077;544179;LAMPERTHEIM;Sep 23, 1974;4.23;86.4;3.79;0;
14077;544179;LAMPERTHEIM;Sep 30, 1974;4.24;86.39;3.8;0;
14077;544179;LAMPERTHEIM;Oct 7, 1974;4.23;86.4;3.79;0;
14077;544179;LAMPERTHEIM;Oct 14, 1974;4.23;86.4;3.79;0;
14077;544179;LAMPERTHEIM;Oct 21, 1974;4.23;86.4;3.79;0;
14077;544179;LAMPERTHEIM;Oct 28, 1974;4.22;86.41;3.78;0;
14077;544179;LAMPERTHEIM;Nov 4, 1974;4.24;86.39;3.8;0;
14077;544179;LAMPERTHEIM;Nov 11, 1974;4.23;86.4;3.79;0;
14077;544179;LAMPERTHEIM;Nov 18, 1974;4.23;86.4;3.79;0;
14077;544179;LAMPERTHEIM;Nov 25, 1974;4.22;86.41;3.78;0;
14077;544179;LAMPERTHEIM;Dec 2, 1974;4.2;86.43;3.76;0;
14077;544179;LAMPERTHEIM;Dec 9, 1974;4.18;86.45;3.74;0;
14077;544179;LAMPERTHEIM;Dec 16, 1974;4.14;86.49;3.7;0;
14077;544179;LAMPERTHEIM;Dec 23, 1974;4.13;86.5;3.69;0;
14077;544179;LAMPERTHEIM;Dec 30, 1974;4.13;86.5;3.69;0;
14077;544179;LAMPERTHEIM;Jan 6, 1975;4.12;86.51;3.68;0;
14077;544179;LAMPERTHEIM;Jan 13, 1975;4.11;86.52;3.67;0;
14077;544179;LAMPERTHEIM;Jan 20, 1975;4.1;86.53;3.66;0;
14077;544179;LAMPERTHEIM;Jan 27, 1975;4.08;86.55;3.64;0;
14077;544179;LAMPERTHEIM;Feb 3, 1975;4.06;86.57;3.62;0;
14077;544179;LAMPERTHEIM;Feb 10, 1975;4.06;86.57;3.62;0;
14077;544179;LAMPERTHEIM;Feb 17, 1975;4.05;86.58;3.61;0;
14077;544179;LAMPERTHEIM;Feb 24, 1975;4.04;86.59;3.6;0;
14077;544179;LAMPERTHEIM;Mar 3, 1975;4.03;86.6;3.59;0;
14077;544179;LAMPERTHEIM;Mar 10, 1975;4.03;86.6;3.59;0;
14077;544179;LAMPERTHEIM;Mar 17, 1975;4.04;86.59;3.6;0;
14077;544179;LAMPERTHEIM;Mar 24, 1975;4.02;86.61;3.58;0;
14077;544179;LAMPERTHEIM;Mar 31, 1975;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Apr 7, 1975;3.99;86.64;3.55;0;
14077;544179;LAMPERTHEIM;Apr 14, 1975;3.98;86.65;3.54;0;
14077;544179;LAMPERTHEIM;Apr 21, 1975;3.98;86.65;3.54;0;
14077;544179;LAMPERTHEIM;Apr 28, 1975;3.97;86.66;3.53;0;
14077;544179;LAMPERTHEIM;May 5, 1975;3.98;86.65;3.54;0;
14077;544179;LAMPERTHEIM;May 12, 1975;3.98;86.65;3.54;0;
14077;544179;LAMPERTHEIM;May 19, 1975;3.98;86.65;3.54;0;
14077;544179;LAMPERTHEIM;May 26, 1975;3.99;86.64;3.55;0;
14077;544179;LAMPERTHEIM;Jun 2, 1975;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Jun 9, 1975;4.02;86.61;3.58;0;
14077;544179;LAMPERTHEIM;Jun 16, 1975;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Jun 23, 1975;3.92;86.71;3.48;0;
14077;544179;LAMPERTHEIM;Jun 30, 1975;3.88;86.75;3.44;0;
14077;544179;LAMPERTHEIM;Jul 7, 1975;3.93;86.7;3.49;0;
14077;544179;LAMPERTHEIM;Jul 14, 1975;3.95;86.68;3.51;0;
14077;544179;LAMPERTHEIM;Jul 21, 1975;3.86;86.77;3.42;0;
14077;544179;LAMPERTHEIM;Jul 28, 1975;3.88;86.75;3.44;0;
14077;544179;LAMPERTHEIM;Aug 4, 1975;3.91;86.72;3.47;0;
14077;544179;LAMPERTHEIM;Aug 11, 1975;3.92;86.71;3.48;0;
14077;544179;LAMPERTHEIM;Aug 18, 1975;3.94;86.69;3.5;0;
14077;544179;LAMPERTHEIM;Aug 25, 1975;3.93;86.7;3.49;0;
14077;544179;LAMPERTHEIM;Sep 1, 1975;3.92;86.71;3.48;0;
14077;544179;LAMPERTHEIM;Sep 8, 1975;3.92;86.71;3.48;0;
14077;544179;LAMPERTHEIM;Sep 15, 1975;3.91;86.72;3.47;0;
14077;544179;LAMPERTHEIM;Sep 22, 1975;3.92;86.71;3.48;0;
14077;544179;LAMPERTHEIM;Sep 29, 1975;3.92;86.71;3.48;0;
14077;544179;LAMPERTHEIM;Oct 6, 1975;3.95;86.68;3.51;0;
14077;544179;LAMPERTHEIM;Oct 13, 1975;3.94;86.69;3.5;0;
14077;544179;LAMPERTHEIM;Oct 20, 1975;3.95;86.68;3.51;0;
14077;544179;LAMPERTHEIM;Oct 27, 1975;3.96;86.67;3.52;0;
14077;544179;LAMPERTHEIM;Nov 3, 1975;3.96;86.67;3.52;0;
14077;544179;LAMPERTHEIM;Nov 10, 1975;3.97;86.66;3.53;0;
14077;544179;LAMPERTHEIM;Nov 17, 1975;3.96;86.67;3.52;0;
14077;544179;LAMPERTHEIM;Nov 24, 1975;3.98;86.65;3.54;0;
14077;544179;LAMPERTHEIM;Dec 1, 1975;3.97;86.66;3.53;0;
14077;544179;LAMPERTHEIM;Dec 8, 1975;3.98;86.65;3.54;0;
14077;544179;LAMPERTHEIM;Dec 15, 1975;3.98;86.65;3.54;0;
14077;544179;LAMPERTHEIM;Dec 22, 1975;3.99;86.64;3.55;0;
14077;544179;LAMPERTHEIM;Dec 29, 1975;4;86.63;3.56;0;
14077;544179;LAMPERTHEIM;Jan 5, 1976;3.99;86.64;3.55;0;
14077;544179;LAMPERTHEIM;Jan 12, 1976;4;86.63;3.56;0;
14077;544179;LAMPERTHEIM;Jan 19, 1976;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Jan 26, 1976;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Feb 2, 1976;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Feb 9, 1976;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Feb 16, 1976;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Feb 23, 1976;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Mar 1, 1976;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Mar 8, 1976;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Mar 15, 1976;4.01;86.62;3.57;0;
14077;544179;LAMPERTHEIM;Mar 22, 1976;4.02;86.61;3.58;0;
14077;544179;LAMPERTHEIM;Mar 29, 1976;4.02;86.61;3.58;0;
14077;544179;LAMPERTHEIM;Apr 5, 1976;4.02;86.61;3.58;0;
14077;544179;LAMPERTHEIM;Apr 12, 1976;4.03;86.6;3.59;0;
14077;544179;LAMPERTHEIM;Apr 19, 1976;4.07;86.56;3.63;0;
14077;544179;LAMPERTHEIM;Apr 26, 1976;4.06;86.57;3.62;0;
14077;544179;LAMPERTHEIM;May 3, 1976;4.08;86.55;3.64;0;
14077;544179;LAMPERTHEIM;May 10, 1976;4.1;86.53;3.66;0;
14077;544179;LAMPERTHEIM;May 17, 1976;4.1;86.53;3.66;0;
14077;544179;LAMPERTHEIM;May 24, 1976;4.09;86.54;3.65;0;
14077;544179;LAMPERTHEIM;May 31, 1976;4.13;86.5;3.69;0;
14077;544179;LAMPERTHEIM;Jun 7, 1976;4.13;86.5;3.69;0;
14077;544179;LAMPERTHEIM;Jun 14, 1976;4.14;86.49;3.7;0;
14077;544179;LAMPERTHEIM;Jun 21, 1976;4.15;86.48;3.71;0;
14077;544179;LAMPERTHEIM;Jun 28, 1976;4.25;86.38;3.81;0;
14077;544179;LAMPERTHEIM;Jul 5, 1976;4.24;86.39;3.8;0;
14077;544179;LAMPERTHEIM;Jul 12, 1976;4.26;86.37;3.82;0;
14077;544179;LAMPERTHEIM;Jul 19, 1976;4.25;86.38;3.81;0;
14077;544179;LAMPERTHEIM;Jul 26, 1976;4.26;86.37;3.82;0;
14077;544179;LAMPERTHEIM;Aug 2, 1976;4.28;86.35;3.84;0;
14077;544179;LAMPERTHEIM;Aug 9, 1976;4.29;86.34;3.85;0;
14077;544179;LAMPERTHEIM;Aug 16, 1976;4.28;86.35;3.84;0;
14077;544179;LAMPERTHEIM;Aug 23, 1976;4.31;86.32;3.87;0;
14077;544179;LAMPERTHEIM;Aug 30, 1976;4.34;86.29;3.9;0;
14077;544179;LAMPERTHEIM;Sep 6, 1976;4.35;86.28;3.91;0;
14077;544179;LAMPERTHEIM;Sep 13, 1976;4.35;86.28;3.91;0;
14077;544179;LAMPERTHEIM;Sep 20, 1976;4.36;86.27;3.92;0;
14077;544179;LAMPERTHEIM;Sep 27, 1976;4.31;86.32;3.87;0;
14077;544179;LAMPERTHEIM;Oct 4, 1976;4.33;86.3;3.89;0;
14077;544179;LAMPERTHEIM;Oct 11, 1976;4.38;86.25;3.94;0;
14077;544179;LAMPERTHEIM;Oct 18, 1976;4.39;86.24;3.95;0;
14077;544179;LAMPERTHEIM;Oct 25, 1976;4.4;86.23;3.96;0;
14077;544179;LAMPERTHEIM;Nov 1, 1976;4.41;86.22;3.97;0;
14077;544179;LAMPERTHEIM;Nov 8, 1976;4.4;86.23;3.96;0;
14077;544179;LAMPERTHEIM;Nov 15, 1976;4.41;86.22;3.97;0;
14077;544179;LAMPERTHEIM;Nov 22, 1976;4.41;86.22;3.97;0;
14077;544179;LAMPERTHEIM;Nov 29, 1976;4.4;86.23;3.96;0;
14077;544179;LAMPERTHEIM;Dec 6, 1976;4.38;86.25;3.94;0;
